k,euclidean,manhattan
1,0.001233495066498465,0.001233495066498465
3,0.020370050244348775,0.020370050244348775
5,0.024277757330274864,0.024277757330274864
7,0.027548821335154128,0.027548821335154128
9,0.030514684131172608,0.030514684131172608
11,0.03737042792508698,0.03737042792508698
13,0.04053417540224312,0.04053417540224312
15,0.0455790227588288,0.0455790227588288
17,0.05160553713866058,0.05160553713866058
19,0.057102753448054336,0.057102753448054336
21,0.06188116906651711,0.06188116906651711
23,0.06795535670084982,0.06795535670084982
25,0.07414216856431015,0.07414216856431015
27,0.08098641297037143,0.08098641297037143
29,0.08499027061608606,0.08499027061608606
31,0.08788510642483463,0.08788510642483463
33,0.09219120096631848,0.09219120096631848
35,0.09615580769632423,0.09615580769632423
37,0.09997592566067687,0.09997592566067687
39,0.10222211254222413,0.10222211254222413
41,0.1048163808623569,0.1048163808623569
43,0.10697196403220176,0.10697196403220176
45,0.1087475045458967,0.1087475045458967
47,0.11053418114521707,0.11053418114521707
49,0.11211074022476356,0.11211074022476356
